
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=2, alpha=0.27: 2.60064, time = 1.25299
Average RMSE for r=2, alpha=0.29: 2.25266, time = 1.24831
Average RMSE for r=2, alpha=0.31: 2.29377, time = 1.26193
Average RMSE for r=2, alpha=0.33: 2.29895, time = 1.1974
Average RMSE for r=2, alpha=0.35: 3.24028, time = 1.26884
Average RMSE for r=2, alpha=0.37: 2.96936, time = 1.37725
Average RMSE for r=2, alpha=0.39: 2.10619, time = 1.26642
Average RMSE for r=2, alpha=0.41: 2.09339, time = 1.29343
Average RMSE for r=2, alpha=0.43: 2.17666, time = 1.2758
Average RMSE for r=2, alpha=0.45: 1.90844, time = 1.29876
Average RMSE for r=2, alpha=0.47: 2.06549, time = 1.3551
Average RMSE for r=2, alpha=0.49: 2.27006, time = 1.38212
Average RMSE for r=2, alpha=0.51: 3.17206, time = 1.46586
Average RMSE for r=2.25, alpha=0.15: 2.92157, time = 1.1567
Average RMSE for r=2.25, alpha=0.17: 3.33679, time = 1.19992
Average RMSE for r=2.25, alpha=0.19: 3.68271, time = 1.24885
Average RMSE for r=2.25, alpha=0.21: 3.44265, time = 1.3861
Average RMSE for r=2.25, alpha=0.23: 2.59009, time = 1.19664
Average RMSE for r=2.25, alpha=0.25: 2.78611, time = 1.28675
Average RMSE for r=2.25, alpha=0.27: 2.40533, time = 1.25577
Average RMSE for r=2.25, alpha=0.29: 2.6148, time = 1.36766
Average RMSE for r=2.25, alpha=0.31: 2.99014, time = 1.31339
Average RMSE for r=2.25, alpha=0.33: 2.91259, time = 1.41105
Average RMSE for r=2.25, alpha=0.35: 2.27202, time = 1.33516
Average RMSE for r=2.25, alpha=0.37: 2.30447, time = 1.32087
Average RMSE for r=2.25, alpha=0.39: 2.3395, time = 1.33344
Average RMSE for r=2.25, alpha=0.41: 2.20959, time = 1.23829
Average RMSE for r=2.25, alpha=0.43: 2.67542, time = 1.43915
Average RMSE for r=2.25, alpha=0.45: 2.21557, time = 1.35796
Average RMSE for r=2.25, alpha=0.47: 2.06055, time = 1.26918
Average RMSE for r=2.25, alpha=0.49: 2.48112, time = 1.36291
Average RMSE for r=2.25, alpha=0.51: 2.18472, time = 1.32697
Average RMSE for r=2.5, alpha=0.15: 2.27809, time = 1.16267
Average RMSE for r=2.5, alpha=0.17: 4.09774, time = 1.35791
Average RMSE for r=2.5, alpha=0.19: 3.74451, time = 1.42027
Average RMSE for r=2.5, alpha=0.21: 3.65235, time = 1.25771
Average RMSE for r=2.5, alpha=0.23: 3.84486, time = 1.27692
Average RMSE for r=2.5, alpha=0.25: 3.12907, time = 1.22485
Average RMSE for r=2.5, alpha=0.27: 3.05484, time = 1.24855
Average RMSE for r=2.5, alpha=0.29: 2.77154, time = 1.36377
Average RMSE for r=2.5, alpha=0.31: 2.65317, time = 1.3426
Average RMSE for r=2.5, alpha=0.33: 2.11225, time = 1.33588
Average RMSE for r=2.5, alpha=0.35: 2.23486, time = 1.29895
Average RMSE for r=2.5, alpha=0.37: 2.37723, time = 1.14885
Average RMSE for r=2.5, alpha=0.39: 3.29864, time = 1.28802
Average RMSE for r=2.5, alpha=0.41: 2.88971, time = 1.2911
Average RMSE for r=2.5, alpha=0.43: 2.76239, time = 1.48154
Average RMSE for r=2.5, alpha=0.45: 2.13266, time = 1.40158
Average RMSE for r=2.5, alpha=0.47: 2.31031, time = 1.29171
Average RMSE for r=2.5, alpha=0.49: 2.65105, time = 1.40056
Average RMSE for r=2.5, alpha=0.51: 2.27386, time = 1.30503
Average RMSE for r=2.75, alpha=0.15: 2.45705, time = 1.12536
Average RMSE for r=2.75, alpha=0.17: 3.42325, time = 1.21169
Average RMSE for r=2.75, alpha=0.19: 3.90164, time = 1.38904
Average RMSE for r=2.75, alpha=0.21: 4.15576, time = 1.26272
Average RMSE for r=2.75, alpha=0.23: 3.18844, time = 1.25121
Average RMSE for r=2.75, alpha=0.25: 3.15129, time = 1.20475
