
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=3, alpha=0.29: 2.29445, time = 57.5301
Average RMSE for r=3, alpha=0.31: 3.49384, time = 53.2199
Average RMSE for r=3, alpha=0.33: 1.95022, time = 57.5408
Average RMSE for r=3, alpha=0.35: 3.05631, time = 54.9458
Average RMSE for r=3, alpha=0.37: 1.64947, time = 56.5971
Average RMSE for r=3, alpha=0.39: 2.43369, time = 54.9128
Average RMSE for r=3, alpha=0.41: 1.80405, time = 51.578
Average RMSE for r=3, alpha=0.43: 1.94169, time = 53.5142
Average RMSE for r=3, alpha=0.45: 3.03341, time = 58.2776
Average RMSE for r=3, alpha=0.47: 2.57533, time = 60.3557
Average RMSE for r=3, alpha=0.49: 1.86599, time = 56.2769
Average RMSE for r=3, alpha=0.51: 1.59639, time = 56.3668
Average RMSE for r=3.5, alpha=0.15: 2.20069, time = 51.708
Average RMSE for r=3.5, alpha=0.17: 3.14096, time = 45.3201
Average RMSE for r=3.5, alpha=0.19: 2.17927, time = 49.216
Average RMSE for r=3.5, alpha=0.21: 3.04357, time = 55.289
Average RMSE for r=3.5, alpha=0.23: 2.34716, time = 51.269
Average RMSE for r=3.5, alpha=0.25: 3.0189, time = 54.9888
Average RMSE for r=3.5, alpha=0.27: 3.1046, time = 55.162
Average RMSE for r=3.5, alpha=0.29: 2.59034, time = 50.6958
Average RMSE for r=3.5, alpha=0.31: 2.53164, time = 55.6881
Average RMSE for r=3.5, alpha=0.33: 2.20073, time = 46.5428
Average RMSE for r=3.5, alpha=0.35: 2.20223, time = 49.8329
Average RMSE for r=3.5, alpha=0.37: 2.23245, time = 55.0901
Average RMSE for r=3.5, alpha=0.39: 2.24253, time = 49.6807
Average RMSE for r=3.5, alpha=0.41: 2.67495, time = 64.5852
Average RMSE for r=3.5, alpha=0.43: 2.60982, time = 54.5152
